full_path_orig,file_name,true_color,light_on,full_path_crop
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:05:57.657284-04:00.jpg,img2021-07-08_11:05:57.657284-04:00,red,False,/home/james/Projects/opencv-test/circle_imgs/img2021-07-08_11:05:57.657284-04:00_crop.jpg
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:06:28.336241-04:00.jpg,img2021-07-08_11:06:28.336241-04:00,red,False,/home/james/Projects/opencv-test/circle_imgs/img2021-07-08_11:06:28.336241-04:00_crop.jpg
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:06:58.869656-04:00.jpg,img2021-07-08_11:06:58.869656-04:00,red,False,/home/james/Projects/opencv-test/circle_imgs/img2021-07-08_11:06:58.869656-04:00_crop.jpg
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:07:29.367949-04:00.jpg,img2021-07-08_11:07:29.367949-04:00,red,False,/home/james/Projects/opencv-test/circle_imgs/img2021-07-08_11:07:29.367949-04:00_crop.jpg
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:07:59.820417-04:00.jpg,img2021-07-08_11:07:59.820417-04:00,red,False,/home/james/Projects/opencv-test/circle_imgs/img2021-07-08_11:07:59.820417-04:00_crop.jpg
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:08:30.372787-04:00.jpg,img2021-07-08_11:08:30.372787-04:00,red,False,/home/james/Projects/opencv-test/circle_imgs/img2021-07-08_11:08:30.372787-04:00_crop.jpg
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:09:00.889159-04:00.jpg,img2021-07-08_11:09:00.889159-04:00,red,False,/home/james/Projects/opencv-test/circle_imgs/img2021-07-08_11:09:00.889159-04:00_crop.jpg
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:09:31.386900-04:00.jpg,img2021-07-08_11:09:31.386900-04:00,red,False,/home/james/Projects/opencv-test/circle_imgs/img2021-07-08_11:09:31.386900-04:00_crop.jpg
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:10:01.883746-04:00.jpg,img2021-07-08_11:10:01.883746-04:00,red,False,/home/james/Projects/opencv-test/circle_imgs/img2021-07-08_11:10:01.883746-04:00_crop.jpg
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:10:32.386106-04:00.jpg,img2021-07-08_11:10:32.386106-04:00,red,False,/home/james/Projects/opencv-test/circle_imgs/img2021-07-08_11:10:32.386106-04:00_crop.jpg
