full_path,file_name,true_color,light_on
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:05:57.657284-04:00.jpg,img2021-07-08_11:05:57.657284-04:00,red,FALSE
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:06:28.336241-04:00.jpg,img2021-07-08_11:06:28.336241-04:00,red,FALSE
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:06:58.869656-04:00.jpg,img2021-07-08_11:06:58.869656-04:00,red,FALSE
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:07:29.367949-04:00.jpg,img2021-07-08_11:07:29.367949-04:00,red,FALSE
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:07:59.820417-04:00.jpg,img2021-07-08_11:07:59.820417-04:00,red,FALSE
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:08:30.372787-04:00.jpg,img2021-07-08_11:08:30.372787-04:00,red,FALSE
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:09:00.889159-04:00.jpg,img2021-07-08_11:09:00.889159-04:00,red,FALSE
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:09:31.386900-04:00.jpg,img2021-07-08_11:09:31.386900-04:00,red,FALSE
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:10:01.883746-04:00.jpg,img2021-07-08_11:10:01.883746-04:00,red,FALSE
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:10:32.386106-04:00.jpg,img2021-07-08_11:10:32.386106-04:00,red,FALSE
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:11:54.033695.jpg,img2021-07-08_11:11:54.033695,red,FALSE
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:12:24.653021.jpg,img2021-07-08_11:12:24.653021,red,FALSE
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:12:55.153436.jpg,img2021-07-08_11:12:55.153436,red,FALSE
/mnt/c/Users/James/test_camera_pics/set2/img2021-07-08_11:13:25.751935.jpg,img2021-07-08_11:13:25.751935,red,FALSE
